timestamp,cash,positions_value,total_value,pnl,pnl_pct,cumulative_costs,position_count
2022-01-01T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-02T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-03T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-04T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-05T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-06T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-07T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-08T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-09T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-10T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-11T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-12T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-13T00:00:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-14T00:00:00.000000,-300.0,1000000.0,999700.0,-300.0,-0.03,300.0,10
2022-01-15T00:00:00.000000,-57.219638719107024,1010210.8185640692,1010153.5989253501,10153.598925350117,1.0153598925350118,414.54647548927255,10
2022-01-16T00:00:00.000000,-148.09281799210294,1002930.1777925298,1002782.0849745377,2782.08497453772,0.27820849745377196,710.7937236940634,10
2022-01-17T00:00:00.000000,-79.49744622744038,953828.947841179,953749.4503949515,-46250.549605048494,-4.625054960504849,869.8569137175301,10
2022-01-18T00:00:00.000000,-79.13276569734444,909438.4879290023,909359.355163305,-90640.64483669505,-9.064064483669505,1028.170048456834,10
2022-01-19T00:00:00.000000,-75.96819365376723,859735.2932198572,859659.3250262034,-140340.6749737966,-14.03406749737966,1180.1529800154733,10
2022-01-20T00:00:00.000000,-95.00785625260323,815642.1290388335,815547.121182581,-184452.87881741906,-18.445287881741905,1370.2200007281124,10
2022-01-21T00:00:00.000000,-61.52627061450039,719158.46937155,719096.9431009355,-280903.05689906445,-28.090305689906447,1493.3195162874667,10
2022-01-22T00:00:00.000000,-34.723553957548575,638486.205729572,638451.4821756145,-361548.51782438555,-36.154851782438556,1562.7955078150085,10
2022-01-23T00:00:00.000000,-55.0882953300752,664661.8953947615,664606.8070994314,-335393.1929005686,-33.53931929005686,1672.9990501154616,10
2022-01-24T00:00:00.000000,-42.5437570681388,650575.302283655,650532.7585265869,-349467.2414734131,-34.94672414734131,1758.1158626569595,10
2022-01-25T00:00:00.000000,-37.73541885575105,656258.7577368901,656221.0223180343,-343778.9776819657,-34.37789776819657,1833.61079134854,10
2022-01-26T00:00:00.000000,-37.73541885575105,645887.333544292,645849.5981254362,-354150.4018745638,-35.41504018745638,1833.61079134854,10
2022-01-27T00:00:00.000000,-88.97650021049049,630136.1701472347,630047.1936470242,-369952.8063529758,-36.995280635297576,2011.6018167526236,10
2022-01-28T00:00:00.000000,-35.362362748841406,635441.4158487833,635406.0534860345,-364593.9465139655,-36.45939465139655,2082.363855103043,10
2022-01-29T00:00:00.000000,-65.23665215226356,686119.1894410503,686053.952788898,-313946.047211102,-31.3946047211102,2212.8673481686865,10
2022-01-30T00:00:00.000000,-58.62622729851137,666935.6699010666,666877.043673768,-333122.95632623194,-33.3122956326232,2330.1569727805536,10
2022-01-31T00:00:00.000000,-18.846290802423027,715138.4898946328,715119.6436038304,-284880.35639616963,-28.488035639616964,2367.872803115444,10
