symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
DUSKUSDT,2022-01-27T00:00:00.000000,2022-01-30T00:00:00.000000,0.6525,0.55813,90908.30161985617,59317.66680695615,7886.3621465789065,13.295132076324482,72.0,17.795300042086843,20.172599055789878,37.967899097876725
AVAXUSDT,2022-01-28T00:00:00.000000,2022-01-30T00:00:00.000000,66.93,67.91,880.5807746610417,58937.271248063524,827.3479056712243,1.4037770805318852,48.0,17.681181374419054,17.9400721221694,35.62125349658845
LINKUSDT,2022-01-30T00:00:00.000000,2022-01-31T00:00:00.000000,17.754,17.143,3669.046555925643,65140.252553903876,-2280.199060969217,-3.500445533400935,24.0,19.542075766171163,18.86953953246999,38.41161529864115
KNCUSDT,2022-01-27T00:00:00.000000,2022-02-01T00:00:00.000000,1.801,1.877,32935.9615807641,59317.66680695615,2466.7915401298533,4.158611882287612,120.0,17.795300042086843,18.546239966128265,36.341540008215105
CRVUSDT,2022-01-30T00:00:00.000000,2022-02-01T00:00:00.000000,3.18,3.46,20484.356149026375,65140.252553903876,5694.814884278512,8.7423899371069,48.0,19.542075766171163,21.262761682689373,40.80483744886054
LRCUSDT,2022-01-25T00:00:00.000000,2022-02-01T00:00:00.000000,1.0304,0.9616,61036.844681280396,62892.36475959132,-4235.810532453623,-6.735015527950308,168.0,18.867709427877394,17.60790895365577,36.47561838153317
FILUSDT,2022-02-01T00:00:00.000000,2022-02-02T00:00:00.000000,20.871,20.154,3055.4906937351634,63771.14626894659,-2228.3922791212576,-3.494358200373725,24.0,19.131343880683975,18.47410783246154,37.60545171314551
COTIUSDT,2022-01-20T00:00:00.000000,2022-02-02T00:00:00.000000,0.36917,0.27848,191174.7745566302,79173.21354383559,-25974.585794733925,-32.807290031688126,312.0,23.751964063150677,15.971505365559112,39.72346942870979
ICPUSDT,2022-02-02T00:00:00.000000,2022-02-03T00:00:00.000000,21.58,20.77,2658.175880797701,57363.43550761439,-2186.8945880116744,-3.8123493975903644,24.0,17.209030652284316,16.563093913250473,33.77212456553479
SANDUSDT,2022-01-27T00:00:00.000000,2022-02-03T00:00:00.000000,3.382,3.6829,17539.22732316858,59317.666806956135,5240.379635406792,8.834433175635722,168.0,17.79530004208684,19.378566092549267,37.17386613463611
ENJUSDT,2022-01-29T00:00:00.000000,2022-02-03T00:00:00.000000,1.7583,1.699,41224.57433775848,72485.16905808073,-2487.374974486454,-3.4315640106921412,120.0,21.74555071742422,21.012165539955497,42.75771625737971
KNCUSDT,2022-01-27T00:00:00.000000,2022-02-04T00:00:00.000000,1.801,2.085,31158.40940322942,59317.66680695615,5610.331913653385,9.458112929343109,192.0,17.795300042086843,19.48958508172,37.284885123806845
CRVUSDT,2022-01-30T00:00:00.000000,2022-02-04T00:00:00.000000,3.18,3.428,20325.054977042324,65140.252553903876,4493.591545092645,6.8983330105669705,120.0,19.542075766171163,20.902286538390324,40.44436230456149
ETHUSDT,2022-02-04T00:00:00.000000,2022-02-05T00:00:00.000000,2993.65,3011.59,22.471273158424435,67271.1268907173,362.6510239355746,0.5390886710203402,24.0,20.18133806721519,20.302278459353833,40.48361652656902
ETCUSDT,2022-01-18T00:00:00.000000,2022-02-05T00:00:00.000000,32.634,29.365,2267.9755849458825,87925.29521929049,-21372.54948683603,-24.307623231212045,432.0,26.377588565787146,19.97973091558075,46.357319481367895
ETHBUSD,2022-02-02T00:00:00.000000,2022-02-05T00:00:00.000000,2679.98,3013.21,21.404426714980854,57363.43550761439,7096.039273794229,12.370317800879107,72.0,17.209030652284316,19.348809786554234,36.557840438838554
PEOPLEUSDT,2022-01-27T00:00:00.000000,2022-02-06T00:00:00.000000,0.05421,0.09287,1094220.011196387,59317.66680695614,42254.26426907828,71.23386091127097,240.0,17.79530004208684,30.486063731942533,48.28136377402937
KNCUSDT,2022-01-27T00:00:00.000000,2022-02-06T00:00:00.000000,1.801,2.074,32319.733806680797,59317.66680695615,7675.556469683219,12.939747773058247,240.0,17.795300042086843,20.10933837451679,37.90463841660363
ANTUSDT,2022-01-31T00:00:00.000000,2022-02-06T00:00:00.000000,7.768,7.987,8087.148473404007,62820.96934140232,1732.86160841594,2.758412718846561,144.0,18.846290802420693,19.377616457123338,38.223907259544035
XTZUSDT,2022-01-30T00:00:00.000000,2022-02-06T00:00:00.000000,3.267,3.922,19938.859061494913,65140.25255390388,13016.950547941242,19.98295990205081,168.0,19.542075766171163,23.460061571754913,43.00213733792607
SOLUSDT,2022-02-01T00:00:00.000000,2022-02-07T00:00:00.000000,109.95,117.46,580.0013303223883,63771.14626894659,4316.240559962553,6.768328331059574,144.0,19.131343880683975,20.438086877900318,39.56943075858429
CHRUSDT,2022-01-15T00:00:00.000000,2022-02-07T00:00:00.000000,0.8646,0.6465,110300.7917324403,95366.06453186789,-15973.793067036242,-16.749976152888618,552.0,28.609819359560365,23.833414409580232,52.4432337691406
SOLBUSD,2022-02-01T00:00:00.000000,2022-02-07T00:00:00.000000,110.03,117.54,579.5796261832827,63771.1462689466,4313.074511977292,6.763363628101422,144.0,19.13134388068398,20.437136778474912,39.568480659158894
