date,total_value,pnl,pnl_pct,position_count,cumulative_costs
2022-01-01T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-02T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-03T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-04T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-05T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-06T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-07T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-08T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-09T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-10T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-11T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-12T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-13T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-14T00:00:00.000000,999700.0,-300.0,-0.03,10,300.0
2022-01-15T00:00:00.000000,1010153.5989253501,10153.598925350117,1.0153598925350118,10,414.54647548927255
2022-01-16T00:00:00.000000,1002782.0849745377,2782.08497453772,0.27820849745377196,10,710.7937236940634
2022-01-17T00:00:00.000000,953749.4503949515,-46250.549605048494,-4.625054960504849,10,869.8569137175301
2022-01-18T00:00:00.000000,909359.355163305,-90640.64483669505,-9.064064483669505,10,1028.170048456834
2022-01-19T00:00:00.000000,859659.3250262034,-140340.6749737966,-14.03406749737966,10,1180.1529800154733
2022-01-20T00:00:00.000000,815547.121182581,-184452.87881741906,-18.445287881741905,10,1370.2200007281124
2022-01-21T00:00:00.000000,719096.9431009355,-280903.05689906445,-28.090305689906447,10,1493.3195162874667
2022-01-22T00:00:00.000000,638451.4821756145,-361548.51782438555,-36.154851782438556,10,1562.7955078150085
2022-01-23T00:00:00.000000,664606.8070994314,-335393.1929005686,-33.53931929005686,10,1672.9990501154616
2022-01-24T00:00:00.000000,650532.7585265869,-349467.2414734131,-34.94672414734131,10,1758.1158626569595
2022-01-25T00:00:00.000000,656221.0223180343,-343778.9776819657,-34.37789776819657,10,1833.61079134854
2022-01-26T00:00:00.000000,645849.5981254362,-354150.4018745638,-35.41504018745638,10,1833.61079134854
2022-01-27T00:00:00.000000,630047.1936470242,-369952.8063529758,-36.995280635297576,10,2011.6018167526236
2022-01-28T00:00:00.000000,635406.0534860345,-364593.9465139655,-36.45939465139655,10,2082.363855103043
2022-01-29T00:00:00.000000,686053.952788898,-313946.047211102,-31.3946047211102,10,2212.8673481686865
2022-01-30T00:00:00.000000,666877.043673768,-333122.95632623194,-33.3122956326232,10,2330.1569727805536
2022-01-31T00:00:00.000000,715119.6436038304,-284880.35639616963,-28.488035639616964,10,2367.872803115444
2022-02-01T00:00:00.000000,695812.1676916456,-304187.83230835444,-30.418783230835444,10,2482.68374535997
2022-02-02T00:00:00.000000,657142.4124729682,-342857.5875270318,-34.285758752703174,10,2551.547419862559
2022-02-03T00:00:00.000000,660121.3898741883,-339878.61012581165,-33.98786101258116,10,2665.4276593880136
2022-02-04T00:00:00.000000,701176.7867697416,-298823.21323025844,-29.882321323025845,10,2746.1822071425545
2022-02-05T00:00:00.000000,744371.6703031986,-255628.32969680137,-25.562832969680137,10,2865.413847416944
2022-02-06T00:00:00.000000,746213.8628829544,-253786.13711704558,-25.378613711704556,10,3052.234097517244
2022-02-07T00:00:00.000000,777694.5582976458,-222305.44170235423,-22.230544170235422,10,3275.506377453007
2022-02-08T00:00:00.000000,767606.776856974,-232393.223143026,-23.239322314302598,10,3448.020818412442
2022-02-09T00:00:00.000000,768165.0379524771,-231834.9620475229,-23.183496204752288,10,3619.018058965148
2022-02-10T00:00:00.000000,722725.3239000081,-277274.6760999919,-27.72746760999919,10,3697.7157725930992
2022-02-11T00:00:00.000000,675009.1962595461,-324990.8037404539,-32.49908037404539,10,3736.5110180537035
2022-02-12T00:00:00.000000,672578.4603923789,-327421.53960762115,-32.74215396076212,10,3809.1805377807004
2022-02-13T00:00:00.000000,650605.7066594262,-349394.2933405738,-34.93942933405737,10,3926.9405866848388
2022-02-14T00:00:00.000000,645879.6116989267,-354120.38830107334,-35.412038830107335,10,4014.6892347709654
2022-02-15T00:00:00.000000,685775.9281701051,-314224.0718298949,-31.42240718298949,10,4186.454097234547
2022-02-16T00:00:00.000000,623508.8724742229,-376491.1275257771,-37.64911275257771,11,4304.776661208791
2022-02-17T00:00:00.000000,568489.1365362838,-431510.86346371623,-43.15108634637163,11,4430.815724031171
2022-02-18T00:00:00.000000,546630.0938874552,-453369.9061125448,-45.33699061125448,11,4538.5273029319
2022-02-19T00:00:00.000000,547631.5985489687,-452368.4014510313,-45.23684014510314,11,4625.334860762526
