date,total_value,pnl,pnl_pct,position_count,cumulative_costs
2022-01-01T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-02T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-03T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-04T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-05T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-06T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-07T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-08T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-09T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-10T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-11T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-12T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-13T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-14T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-15T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-16T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-17T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-18T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-19T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-20T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-21T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-22T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-23T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-24T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-25T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-26T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-27T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-28T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-29T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-30T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-01-31T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-01T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-02T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-03T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-04T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-05T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-06T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-07T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-08T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-09T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-10T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-11T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-12T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-13T00:00:00.000000,1000000.0,0.0,0.0,0,0.0
2022-02-14T00:00:00.000000,999700.0,-300.0,-0.03,2,300.0
2022-02-15T00:00:00.000000,1062687.4025531546,62687.40255315462,6.268740255315462,2,300.0
2022-02-16T00:00:00.000000,1095803.9302960322,95803.93029603222,9.580393029603222,2,300.0
2022-02-17T00:00:00.000000,1091276.1237133727,91276.12371337274,9.127612371337273,2,300.0
2022-02-18T00:00:00.000000,1032697.4606912993,32697.46069129929,3.2697460691299285,2,300.0
2022-02-19T00:00:00.000000,983320.0259498584,-16679.974050141638,-1.6679974050141637,2,300.0
2022-02-20T00:00:00.000000,946259.3195788669,-53740.68042113306,-5.374068042113306,2,300.0
2022-02-21T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-22T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-23T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-24T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-25T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-26T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-27T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-02-28T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
2022-03-01T00:00:00.000000,943659.1337592532,-56340.86624074681,-5.634086624074681,0,583.2727219443593
