timestamp,cash,positions_value,total_value,pnl,pnl_pct,cumulative_costs,position_count
2022-01-01T23:45:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-02T23:45:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-03T23:50:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-04T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-05T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-06T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-07T23:40:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-08T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-09T23:40:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-10T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-11T23:45:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-12T23:45:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-13T23:45:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-14T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-15T23:55:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-16T23:50:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-17T23:40:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-18T23:50:00.000000,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0
2022-01-19T23:50:00.000000,-300.0,1000000.0,999700.0,-300.0,-0.03,300.0,1
2022-01-20T23:40:00.000000,995261.5077347665,0.0,995261.5077347665,-4738.492265233537,-0.4738492265233537,598.7580797443532,0
2022-01-21T23:55:00.000000,995261.5077347665,0.0,995261.5077347665,-4738.492265233537,-0.4738492265233537,598.7580797443532,0
2022-01-22T23:55:00.000000,995261.5077347665,0.0,995261.5077347665,-4738.492265233537,-0.4738492265233537,598.7580797443532,0
2022-01-23T23:55:00.000000,995261.5077347665,0.0,995261.5077347665,-4738.492265233537,-0.4738492265233537,598.7580797443532,0
2022-01-24T23:45:00.000000,-5038.492265233537,1000000.0,994961.5077347665,-5038.492265233537,-0.5038492265233537,898.7580797443532,1
2022-01-25T23:50:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-01-26T23:45:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-01-27T23:00:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-01-28T23:40:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-01-29T23:30:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-01-30T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-01-31T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-01T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-02T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-03T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-04T23:50:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-05T23:50:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-06T23:30:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-07T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-08T23:35:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-09T23:50:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-10T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-11T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-12T23:55:00.000000,1067801.4241212066,0.0,1067801.4241212066,67801.42412120663,6.780142412120663,1220.7066392281304,0
2022-02-13T23:50:00.000000,67501.42412120663,1000000.0,1067501.4241212066,67501.42412120663,6.750142412120663,1520.7066392281304,1
2022-02-14T23:55:00.000000,-13957.701425620588,1000000.0,986042.2985743794,-13957.701425620588,-1.3957701425620588,2096.4416220589314,2
2022-02-15T23:45:00.000000,1048710.804906768,0.0,1048710.804906768,48710.804906768026,4.871080490676802,2415.337842824878,0
2022-02-16T23:40:00.000000,48410.804906768084,1000000.0,1048410.804906768,48410.804906768026,4.841080490676802,2715.337842824878,2
2022-02-17T23:55:00.000000,24310.636416752008,1000000.0,1024310.636416752,24310.636416752008,2.431063641675201,3308.2856766280142,1
2022-02-18T23:55:00.000000,-34449.7367994939,1000000.0,965550.2632005061,-34449.7367994939,-3.4449736799493897,3890.8323286587497,1
